"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Масштабы","97258","Топ-3 преступлений","%","Российская Федерация","","незаконный оборот наркотиков","% от всех преступлений","11,6","9,9","9,3","10,1","10,1","9,4","9,3","9,0","9,0","9,8","10,4","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97259","Топ-3 преступлений","случай","Российская Федерация","","кражи","на 100 тысяч населения","633","696","594","537","515","527","512","501,5","479,2","398,3","341,9","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97260","Топ-3 преступлений","случай","Российская Федерация","","мошенничество","на 100 тысяч населения","н/д","н/д","142,6","151,7","146,4","175,2","228,7","232,3","235,70","296,15","304,9521683","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97261","Топ-3 преступлений","случай","Российская Федерация","","незаконный оборот наркотиков","на 100 тысяч населения","177,3059383","161,990424","137,2720994","142,1490363","136,3735096","129,5790074","129,4083984","122,9600821","122,1104424","130,4140386","135,5059397","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97262","Доля киберпреступлений в структуре преступности","случай","Российская Федерация","","всего","киберпреступлений","н/д","н/д","н/д","н/д","174674","294409","510396","517722","522065","676951","765365","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97263","Доля киберпреступлений в структуре преступности","случай","Российская Федерация","","мошенничество","киберпреступлений","н/д","н/д","н/д","н/д","95876","136709","237074","249249","257606","356079","380344","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97264","Доля киберпреступлений в структуре преступности","случай","Российская Федерация","","кражи","киберпреступлений","н/д","н/д","н/д","н/д","32668","98798","173416","156792","113565","119212","105937","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97265","Доля киберпреступлений в структуре преступности","%","Российская Федерация","","всего","доля кибер от всех преступлений по статье","н/д","н/д","н/д","н/д","8,77","14,54","24,97","25,83","26,5","34,8","40,04509072","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97266","Доля киберпреступлений в структуре преступности","%","Российская Федерация","","мошенничество","доля кибер от всех преступлений по статье","н/д","н/д","н/д","н/д","44,6","53,2","70,6","59,5","75,1","82,1","85,33823958","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97267","Доля киберпреступлений в структуре преступности","%","Российская Федерация","","кражи","доля кибер от всех преступлений по статье","н/д","н/д","н/д","н/д","4,3","12,8","23,1","21,4","16,3","20,4360042","21,20258105","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97268","Доля киберпреступлений от всех киберпреступлений в отношении пенсионеров по старости","%","Российская Федерация","","","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","16,90","13,09","н/д","н/д","Отношение числа киберпреступлений в отношении  пенсионеров по старости к общему числу киберпреступлений. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Масштабы","97269","Потерпевшие от киберпреступлений по полу","чел./100000","Российская Федерация","","мужчины","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","263","н/д","н/д","н/д",""
"Масштабы","97270","Потерпевшие от киберпреступлений по полу","чел./100000","Российская Федерация","","женщины","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","290","н/д","н/д","н/д",""
"Масштабы","97271","Граждане, совершившие преступления","человек","Российская Федерация","","всего","человек","1006003","1075333","1015875","967103","931107","884661","852506","848320","818986","750465","666260","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97272","Граждане, совершившие преступления","человек","Российская Федерация","","мужчины","человек","847847","903155","867849","820187","785621","742156","716188","710596","685479","624139","545530",""
"Масштабы","97273","Граждане, совершившие преступления","человек","Российская Федерация","","женщины","человек","158156","172178","148026","146916","145486","142505","136318","137724","133507","126326","120730","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97274","Граждане, совершившие преступления","человек","Российская Федерация","","несовершеннолетние","человек","54369","55993","48589","42504","40860","37953","33575","29126","26305","22340","21069","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного общего населения, женского населения и детского (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
