"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Прочее","97306","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Российская Федерация","","в регионе","погибли и ранено","194,0","173,9","164,8","159,7","158,7","155,2","135,7","125,0","119,4","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97307","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Российская Федерация","","среднее по России","погибли и ранено","194,0","173,9","164,8","159,7","158,7","155,2","135,7","125,0","119,41","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97308","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Российская Федерация","","в регионе","погибли","18,8","15,8","13,9","13,0","12,4","11,6","11,0","10,2","9,7","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97309","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Российская Федерация","","среднее по России","погибли","18,8","15,8","13,9","13,0","12,4","11,6","11,0","10,1758","9,6596","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97312","Разыскивалось лиц, пропавших без вести","человек","Российская Федерация","","в регионе","человек","93900","93085","88751","83923","76217","49785","41901","40349","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97313","Разыскивалось лиц, пропавших без вести","чел./100000","Российская Федерация","","в регионе","на 100 000 населения","65","64","61","57","52","34","29","28","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97314","Разыскивалось лиц, пропавших без вести","человек","Российская Федерация","","среднее по России","человек","93900","93085","88751","83923","76217","49785","41901","н/д","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97315","Разыскивалось лиц, пропавших без вести","чел./100000","Российская Федерация","","среднее по России","на 100 000 населения","65","64","61","57","52","34","29","28","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97318","Смертность от внешних причин","чел./100000","Российская Федерация","","в регионе","","130,0","121,4","114,3","104,0","98,5","93,8","95,1","95,5","н/д","н/д","н/д","Число умерших по основным классам и отдельным причинам смерти за год (внешние причины) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014 г)"
"Прочее","97319","Смертность от внешних причин","чел./100000","Российская Федерация","","среднее по России","","130,0","121,4","114,3","104,0","98,5","93,8","95,1","95,5","н/д","н/д","н/д","Число умерших по основным классам и отдельным причинам смерти за год (внешние причины) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014 г)"
"Прочее","97321","Пострадавшие в чрезвычайных ситуациях","чел./100000","Российская Федерация","","","","90,4","14,2","89,4","24,9","39,1","82,4","4,3","н/д","н/д","н/д","н/д",""
